"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Other clicks","Matched audience targeting consumption (Photo Click)","Link clicks","Matched audience targeting consumption (Video Click)","Views from Organic posts","Views from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Negative feedback from users: Hide all","Negative feedback from users: Hide","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1404969671676932,100064917362794,"Virtu Ferries Ltd.","🌊 The crossing takes 1 hour 45 minutes, but the work behind it never stops.

Thank you to everyone who keeps Virtu Ferries moving. We appreciate you today, and every day ❤️💙💛",,0,"05/01/2026 04:01",N/A,https://www.facebook.com/virtuferries/posts/pfbid0wg3uP1F66qRSLLNU2sN2QHTb5dPkhtUSJZo91UE2Vbmai4kvuXh8JDmHBFk3DCEjl,0,0,Photos,,,,,Lifetime,16079,9318,150,133,13,4,893,333,559,1,,16079,0,9318,0,0,0,0,0,0,0,,,,,,,
1404834635023769,100064917362794,"Virtu Ferries Ltd.","And our giveaway winner for April is...@christinagatt 🥳

Thank you to everyone who entered and shared their love. Stay tuned, our next giveaway starts next Friday!",,0,"05/01/2026 00:01",N/A,https://www.facebook.com/virtuferries/posts/pfbid021SaawJq1vpK4bTaghQR8rJoexdXGXucKsUhmTYBEi2fvmnpYa3MTstrjEHHBNbeKl,0,0,Photos,,,,,Lifetime,8316,5522,50,41,7,2,239,196,43,,,8316,0,5522,0,0,0,0,0,0,0,,,,,,,
1429554932551739,100064917362794,"Virtu Ferries Ltd.","☀️𝗦𝗶𝗰𝗶𝗹𝘆 𝗯𝗲𝗳𝗼𝗿𝗲 𝗽𝗲𝗮𝗸 𝘀𝘂𝗺𝗺𝗲𝗿. 

The weather is already there. The crowds are not. 

Ps. This weeks crossings are ready when you are.",,0,"05/30/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02EyUQb7kMxWy4JnpPdxcVjJJUu1vKw6RESeyr9Ws5kw6M1wsoeY17Bsr2nUmmmz9Vl,0,0,Photos,,,,,Lifetime,3313,2158,8,8,0,0,27,8,19,,,3313,0,2158,0,0,0,0,0,0,0,,,,,,,
1428841545956411,100064917362794,"Virtu Ferries Ltd.","You can only keep one. The rest disappear forever. 
Which one are you picking? 👇",,0,"05/29/2026 04:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid023cia5PYiCJkiSspCErpn3a6ajg5BuPMQ5TSG4LYrqGu4ayEtuXTkRxZFmrFHiaQKl,0,0,Photos,,,,,Lifetime,6561,4754,33,30,3,0,98,24,74,,,6561,0,4754,0,0,0,0,0,0,0,,,,,,,
1426229012884331,100064917362794,"Virtu Ferries Ltd.","2,500 years old and still the most impressive thing in the room.",,0,"05/26/2026 04:01",N/A,https://www.facebook.com/virtuferries/posts/pfbid017grchoGbKPSp8F8Atpb1g28U5z1anAExE8Xfa4he6khsJMDQMnnWvzJfmGBnAS9l,0,0,Photos,,,,,Lifetime,70563,35552,29,28,1,0,278,115,146,17,,3294,67269,2491,33484,0,0,0,0,0,0,,,,,,,
1425601462947086,100064917362794,"Virtu Ferries Ltd.","Get ready for the best Summer of your life ☀️","Get ready for the best Summer of your life ☀️",16,"05/25/2026 09:01",N/A,https://www.facebook.com/reel/1325099739569357/,1,0,Videos,,,,,Lifetime,26946,16598,27,24,1,2,52,14,,12,26,5416,21053,2700,14120,3574,0,2871,0,2436,1138,,,58974.515,2.378,0,0,0
1424548763052356,100064917362794,"Virtu Ferries Ltd.","Some book for the speed.
Some book for the flexibility.
Some book because they can bring their car.

Whatever the reason, we’ll see you on board.",,0,"05/24/2026 04:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02iEqQAWfrupoUnL45QVmxa6vF5vGJw4pcXVPZ32DScTi2R7YzHNyYqkABTzdHXaAyl,0,0,Photos,,,,,Lifetime,281244,91083,138,129,8,1,1576,885,269,422,,13766,267478,9874,84503,0,0,0,0,0,0,,,,,,,
1423559043151328,100064917362794,"Virtu Ferries Ltd.","👋Looks like a great week to cross, wander a little, eat properly, and come back before everyone else has the same idea.

This week’s schedule is live.",,0,"05/23/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid06m6iq4rW17cFSb5SaMNwXDkPXnHWqfyoTdF7pJudcKwMdhH7N4kU89wb61dvrekgl,0,0,Photos,,,,,Lifetime,3497,2216,12,10,1,1,71,24,47,,,3497,0,2216,0,0,0,0,0,0,0,,,,,,,
1423069626533603,100064917362794,"Virtu Ferries Ltd.","Make this the summer your group chat dream trip finally happens 🕺💃","Make this the summer your group chat dream trip finally happens 🕺💃",24,"05/22/2026 09:01",N/A,https://www.facebook.com/reel/958935660344618/,1,0,Videos,,,,,Lifetime,5604,1742,7,7,0,0,9,9,,,,5587,0,1742,0,1560,0,1114,0,0,1560,,,23821.335,5.711,0,0,0
1421164206724145,100064917362794,"Virtu Ferries Ltd.","🤝 Join Our Team!

Virtu Ferries is seeking to recruit a Full-Time Driver.

If you fancy embarking on an exciting new journey, send your CV to admin@virtuferries.com by not later than 31.05.26.",,0,"05/20/2026 02:29",N/A,https://www.facebook.com/virtuferries/posts/pfbid03893E6yXChpNn8SNXYCA1zVJPpeveqt5BYdNZqKj9x93BvyNPFb5QG6PpExdYruzBl,0,0,Photos,,,,,Lifetime,19633,12643,55,46,4,5,1080,597,483,,,19633,0,12643,0,0,0,0,0,0,0,,,,,,,
